id,titulo,autor,genero,anio
1,El nombre del viento,Patrick Rothfuss,Fantasía,2007
2,1984,George Orwell,Ciencia Ficción,1949
3,Cien años de soledad,Gabriel García Márquez,Realismo Mágico,1967
4,La sombra del viento,Carlos Ruiz Zafón,Misterio,2001
5,Orgullo y prejuicio,Jane Austen,Romance,1813
6,El código Da Vinci,Dan Brown,Thriller,2003
7,Harry Potter y la piedra filosofal,J.K. Rowling,Fantasía,1997
8,El señor de los anillos,J.R.R. Tolkien,Fantasía,1954
9,Don Quijote de la Mancha,Miguel de Cervantes,Clásico,1605
10,La ladrona de libros,Markus Zusak,Histórico,2005
11,El Hobbit,J.R.R. Tolkien,Fantasía,1937
12,Crónica de una muerte anunciada,Gabriel García Márquez,Realismo Mágico,1981
13,El psicoanalista,John Katzenbach,Thriller,2002
14,El perfume,Patrick Süskind,Misterio,1985
15,Jane Eyre,Charlotte Brontë,Romance,1847
16,Moby Dick,Herman Melville,Aventura,1851
17,El retrato de Dorian Gray,Oscar Wilde,Clásico,1890
18,La guerra de los mundos,H.G. Wells,Ciencia Ficción,1898
19,Fahrenheit 451,Ray Bradbury,Ciencia Ficción,1953
20,El principito,Antoine de Saint-Exupéry,Infantil,1943
21,La catedral del mar,Ildefonso Falcones,Histórico,2006
22,Los pilares de la tierra,Ken Follett,Histórico,1989
23,Drácula,Bram Stoker,Terror,1897
24,It,Stephen King,Terror,1986
25,Carrie,Stephen King,Terror,1974
26,El código Da Vinci,Dan Brown,Thriller,2003
27,Ángeles y demonios,Dan Brown,Thriller,2000
28,El símbolo perdido,Dan Brown,Thriller,2009
29,La chica del tren,Paula Hawkins,Misterio,2015
30,Perdida,Gillian Flynn,Misterio,2012
31,El gran Gatsby,F. Scott Fitzgerald,Clásico,1925
32,En busca del tiempo perdido,Marcel Proust,Clásico,1913
33,Los juegos del hambre,Suzanne Collins,Fantasía,2008
34,Crepúsculo,Stephenie Meyer,Fantasía,2005
35,Cazadores de sombras,Cassandra Clare,Fantasía,2007
36,El corredor del laberinto,James Dashner,Fantasía,2009
37,Ready Player One,Ernest Cline,Ciencia Ficción,2011
38,Neuromante,William Gibson,Ciencia Ficción,1984
39,La carretera,Cormac McCarthy,Ciencia Ficción,2006
40,El libro de los Baltimore,Joël Dicker,Misterio,2015
41,El tatuador de Auschwitz,Heather Morris,Histórico,2018
42,La ladrona de libros,Markus Zusak,Histórico,2005
43,La sombra del viento,Carlos Ruiz Zafón,Misterio,2001
44,El juego de Ender,Orson Scott Card,Ciencia Ficción,1985
45,Siddhartha,Hermann Hesse,Filosófico,1922
46,El alquimista,Paulo Coelho,Filosófico,1988
47,El monje que vendió su Ferrari,Robin Sharma,Filosófico,1997
48,El poder del ahora,Eckhart Tolle,Filosófico,1997
49,Los cuatro acuerdos,Miguel Ruiz,Filosófico,1997
50,La magia del orden,Marie Kondo,Autoayuda,2010
51,Piensa y hazte rico,Napoleon Hill,Autoayuda,1937
52,Cómo ganar amigos y influir sobre las personas,Dale Carnegie,Autoayuda,1936
53,El hombre en busca de sentido,Victor Frankl,Filosófico,1946
54,El código Da Vinci,Dan Brown,Thriller,2003
55,Ángeles y demonios,Dan Brown,Thriller,2000
56,Inferno,Dan Brown,Thriller,2013
57,El símbolo perdido,Dan Brown,Thriller,2009
58,Los pilares de la tierra,Ken Follett,Histórico,1989
59,Un mundo feliz,Aldous Huxley,Ciencia Ficción,1932
60,La naranja mecánica,Anthony Burgess,Ciencia Ficción,1962
61,La metamorfosis,Franz Kafka,Clásico,1915
62,El proceso,Franz Kafka,Clásico,1925
63,El extranjero,Albert Camus,Filosófico,1942
64,Crimen y castigo,Fiódor Dostoyevski,Clásico,1866
65,Los hermanos Karamazov,Fiódor Dostoyevski,Clásico,1880
66,Anna Karenina,León Tolstói,Clásico,1878
67,Guerra y paz,León Tolstói,Clásico,1869
68,La Divina Comedia,Dante Alighieri,Clásico,1320
69,Hamlet,William Shakespeare,Clásico,1603
70,Macbeth,William Shakespeare,Clásico,1606
71,Romeo y Julieta,William Shakespeare,Clásico,1597
72,El conde de Montecristo,Alexandre Dumas,Aventura,1844
73,Los tres mosqueteros,Alexandre Dumas,Aventura,1844
74,Veinte mil leguas de viaje submarino,Jules Verne,Aventura,1870
75,La isla misteriosa,Jules Verne,Aventura,1874
76,Viaje al centro de la Tierra,Jules Verne,Aventura,1864
77,La llamada de la selva,Jack London,Aventura,1903
78,Moby Dick,Herman Melville,Aventura,1851
79,El lobo de mar,Jack London,Aventura,1904
80,El último mohicano,James Fenimore Cooper,Aventura,1826
81,Los juegos del hambre,Suzanne Collins,Fantasía,2008
82,Harry Potter y la cámara secreta,J.K. Rowling,Fantasía,1998
83,Harry Potter y el prisionero de Azkaban,J.K. Rowling,Fantasía,1999
84,Harry Potter y el cáliz de fuego,J.K. Rowling,Fantasía,2000
85,Harry Potter y la orden del Fénix,J.K. Rowling,Fantasía,2003
86,Harry Potter y el misterio del príncipe,J.K. Rowling,Fantasía,2005
87,Harry Potter y las reliquias de la muerte,J.K. Rowling,Fantasía,2007
88,El señor de los anillos: La comunidad del anillo,J.R.R. Tolkien,Fantasía,1954
89,El señor de los anillos: Las dos torres,J.R.R. Tolkien,Fantasía,1954
90,El señor de los anillos: El retorno del rey,J.R.R. Tolkien,Fantasía,1955
91,Crónica del pájaro que da cuerda al mundo,Haruki Murakami,Realismo Mágico,1994
92,Kafka en la orilla,Haruki Murakami,Realismo Mágico,2002
93,1Q84,Haruki Murakami,Realismo Mágico,2009
94,Tokio blues,Haruki Murakami,Realismo Mágico,2000
95,La insoportable levedad del ser,Milan Kundera,Filosófico,1984
96,El libro de la risa y el olvido,Milan Kundera,Filosófico,1979
97,La tregua,Mario Benedetti,Realismo Mágico,1960
98,Gracias por el fuego,Mario Benedetti,Realismo Mágico,1965
99,El olvido que seremos,Héctor Abad,Filosófico,2006
100,Cien años de soledad,Gabriel García Márquez,Realismo Mágico,1967
101,El amor en los tiempos del cólera,Gabriel García Márquez,Realismo Mágico,1985
102,Crónica de una muerte anunciada,Gabriel García Márquez,Realismo Mágico,1981
103,La casa de los espíritus,Isabel Allende,Realismo Mágico,1982
104,Paula,Isabel Allende,Realismo Mágico,1994
105,El juego del ángel,Carlos Ruiz Zafón,Misterio,2008
106,El prisionero del cielo,Carlos Ruiz Zafón,Misterio,2011
107,El cementerio de los libros olvidados,Carlos Ruiz Zafón,Misterio,2016
108,La ciudad de vapor,Isabel Allende,Realismo Mágico,2016
109,El retrato de Dorian Gray,Oscar Wilde,Clásico,1890
110,El fantasma de la ópera,Gaston Leroux,Misterio,1910
111,Drácula,Bram Stoker,Terror,1897
112,Frankenstein,Mary Shelley,Terror,1818
113,It,Stephen King,Terror,1986
114,El resplandor,Stephen King,Terror,1977
115,Carrie,Stephen King,Terror,1974
116,La niebla,Stephen King,Terror,1980
117,El exorcista,William Peter Blatty,Terror,1971
118,El silencio de los corderos,Thomas Harris,Thriller,1988
119,Los hombres que no amaban a las mujeres,Stieg Larsson,Thriller,2005
120,La chica que soñaba con una cerilla y un bidón de gasolina,Stieg Larsson,Thriller,2006
121,El código Da Vinci,Dan Brown,Thriller,2003
122,Ángeles y demonios,Dan Brown,Thriller,2000
123,Inferno,Dan Brown,Thriller,2013
124,La última revelación,Dan Brown,Thriller,2017
125,Perdida,Gillian Flynn,Misterio,2012
126,La chica del tren,Paula Hawkins,Misterio,2015
127,El hombre de tiza,C.J. Tudor,Misterio,2018
128,La casa de hojas,Mark Z. Danielewski,Horror,2000
129,El pasaje,Justin Cronin,Fantasía,2010
130,El corredor del laberinto,James Dashner,Fantasía,2009
131,Cazadores de sombras,Cassandra Clare,Fantasía,2007
132,Crepúsculo,Stephenie Meyer,Fantasía,2005
133,Los juegos del hambre,Suzanne Collins,Fantasía,2008
134,Divergente,Veronica Roth,Fantasía,2011
135,Legend,Marie Lu,Fantasía,2011
136,La selección,Kiera Cass,Fantasía,2012
137,La prueba,James Dashner,Fantasía,2013
138,El príncipe cruel,Holly Black,Fantasía,2018
139,Las crónicas de Narnia,C.S. Lewis,Fantasía,1950
140,El ciclo del Legado,Christopher Paolini,Fantasía,2002
141,Eragon,Christopher Paolini,Fantasía,2002
142,Eldest,Christopher Paolini,Fantasía,2005
143,Brisingr,Christopher Paolini,Fantasía,2008
144,Legado,Christopher Paolini,Fantasía,2011
145,El nombre del viento,Patrick Rothfuss,Fantasía,2007
146,El temor de un hombre sabio,Patrick Rothfuss,Fantasía,2011
147,El archivo de las tormentas,Brandon Sanderson,Fantasía,2010
148,Nacidos de la bruma,Brandon Sanderson,Fantasía,2006
149,El aliento de los dioses,Brandon Sanderson,Fantasía,2009
150,Elantris,Brandon Sanderson,Fantasía,2005
151,La rueda del tiempo,Robert Jordan,Fantasía,1990
152,Tormenta de espadas,George R.R. Martin,Fantasía,2000
153,Choque de reyes,George R.R. Martin,Fantasía,1998
154,Una tormenta de espadas,George R.R. Martin,Fantasía,2000
155,Fuego y sangre,George R.R. Martin,Fantasía,2018
156,Canción de hielo y fuego,George R.R. Martin,Fantasía,1996
157,La espada de la verdad,Terry Goodkind,Fantasía,1994
158,El espíritu del dragón,Terry Goodkind,Fantasía,2001
159,La profecía,Mercedes Lackey,Fantasía,1991
160,El último unicornio,Peter S. Beagle,Fantasía,1968
161,El nombre del viento,Patrick Rothfuss,Fantasía,2007
162,El héroe de las eras,Brandon Sanderson,Fantasía,2008
163,El camino de los reyes,Brandon Sanderson,Fantasía,2010
164,La tormenta de espadas,George R.R. Martin,Fantasía,2000
165,El despertar de los dioses,Mercedes Lackey,Fantasía,2000
166,El mago,Raymond E. Feist,Fantasía,1982
167,El destino del mago,Raymond E. Feist,Fantasía,1984
168,El caos,James Rollins,Thriller,2007
169,El asesinato de Roger Ackroyd,Agatha Christie,Misterio,1926
170,Muerte en el Nilo,Agatha Christie,Misterio,1937
171,Asesinato en el Orient Express,Agatha Christie,Misterio,1934
172,El misterio de la guía de ferrocarriles,Agatha Christie,Misterio,1936
173,Diez negritos,Agatha Christie,Misterio,1939
174,El caso de los anónimos,Agatha Christie,Misterio,1942
175,La casa torcida,Agatha Christie,Misterio,1949
176,El testigo mudo,Agatha Christie,Misterio,1937
177,El secreto de Chimneys,Agatha Christie,Misterio,1925
178,El hombre del traje marrón,Agatha Christie,Misterio,1924
179,El asesinato de la profesora de historia,Agatha Christie,Misterio,1925
180,El reloj de arena,Agatha Christie,Misterio,1936
181,El misterio de la ventana azul,Agatha Christie,Misterio,1926
182,El asesinato en la calle Hickory,Agatha Christie,Misterio,1930
183,La casa del reloj en la pared,John Bellairs,Terror,1973
184,El terror de Dunwich,H.P. Lovecraft,Terror,1929
185,En las montañas de la locura,H.P. Lovecraft,Terror,1936
186,El llamado de Cthulhu,H.P. Lovecraft,Terror,1928
187,Sombra sobre Innsmouth,H.P. Lovecraft,Terror,1931
188,La sombra fuera del tiempo,H.P. Lovecraft,Terror,1935
189,La casa encantada,Charles Dickens,Terror,1859
190,El extraño caso del Dr. Jekyll y Mr. Hyde,Robert Louis Stevenson,Terror,1886
191,El fantasma de Canterville,Oscar Wilde,Terror,1887
192,El extraño,Albert Camus,Filosófico,1942
193,La peste,Albert Camus,Filosófico,1947
194,El mito de Sísifo,Albert Camus,Filosófico,1942
195,El hombre rebelde,Albert Camus,Filosófico,1951
196,El extranjero,Albert Camus,Filosófico,1942
197,La náusea,Jean-Paul Sartre,Filosófico,1938
198,El ser y la nada,Jean-Paul Sartre,Filosófico,1943
199,El existencialismo es un humanismo,Jean-Paul Sartre,Filosófico,1946
200,Los hermanos Karamazov,Fiódor Dostoyevski,Clásico,1880